name,starting_price,winner_bid,timestamp
ENGINE,450.0,600,2020-12-03 11:27:32
ENGINE,400.0,550,2020-12-03 11:56:28
ENGINE,400.0,600,2020-12-03 11:56:28
SHADOW,2900.0,3200,2020-12-03 11:56:28
SHADOW,2900.0,3200,2020-12-03 11:56:28
SNIPER,400.0,550,2020-12-03 11:56:28
SHADOW,3100.0,3500,2020-12-03 11:57:18
SHADOW,3100.0,3300,2020-12-03 12:05:09
ENGINE,500.0,650,2020-12-03 13:02:47
Blind,1900.0,2000,2020-12-03 13:20:24
Blind,1900.0,2000,2020-12-03 13:20:24
Berghuis,900.0,1300,2020-12-03 13:20:24
ENGINE,550.0,700,2020-12-03 13:34:14
Pacheco,1200.0,1300,2020-12-03 14:05:20
CATALYST,400.0,400,2020-12-03 14:05:20
CATALYST,500.0,700,2020-12-03 14:05:20
Rúben Dias,2100.0,2400,2020-12-03 14:17:13
SHADOW,3100.0,3500,2020-12-03 14:24:21
ENGINE,600.0,700,2020-12-03 14:48:11
ENGINE,600.0,700,2020-12-03 16:04:18
CATALYST,350.0,500,2020-12-03 17:25:02
SNIPER,350.0,550,2020-12-03 17:25:02
FINISHER,900.0,1300,2020-12-03 17:25:02
Sergio Ramos,82500.0,83500,2020-12-04 00:03:36
Gomez,72000.0,72000,2020-12-04 00:03:36
ENGINE,500.0,500,2020-12-04 00:03:36
CATALYST,450.0,650,2020-12-04 00:03:36
CATALYST,400.0,600,2020-12-04 00:03:36
CATALYST,400.0,550,2020-12-04 00:03:36
CATALYST,350.0,550,2020-12-04 00:03:36
SHADOW,3100.0,3200,2020-12-04 00:03:36
FINISHER,600.0,600,2020-12-04 00:03:36
FINISHER,500.0,500,2020-12-04 00:51:35
FINISHER,800.0,800,2020-12-04 00:51:35
ENGINE,500.0,700,2020-12-04 01:03:58
ENGINE,500.0,600,2020-12-04 01:03:58
ENGINE,500.0,600,2020-12-04 01:03:58
CATALYST,450.0,450,2020-12-04 01:21:04
ENGINE,450.0,600,2020-12-04 02:08:49
ENGINE,600.0,600,2020-12-04 02:08:49
CATALYST,350.0,350,2020-12-04 02:08:49
Pacheco,1100.0,1400,2020-12-04 11:19:55
FINISHER,650.0,850,2020-12-04 11:19:55
CATALYST,550.0,650,2020-12-04 11:19:55
ENGINE,550.0,750,2020-12-04 12:28:07
SHADOW,2900.0,2900,2020-12-04 12:28:07
SHADOW,3000.0,3000,2020-12-04 13:29:06
FINISHER,450.0,550,2020-12-04 13:29:06
FINISHER,700.0,800,2020-12-04 13:29:06
FINISHER,750.0,950,2020-12-04 13:29:06
FINISHER,700.0,850,2020-12-04 13:29:06
CATALYST,500.0,700,2020-12-04 14:36:34
FINISHER,700.0,900,2020-12-04 14:36:34
FINISHER,850.0,950,2020-12-04 14:36:34
FINISHER,800.0,900,2020-12-04 14:36:34
FINISHER,850.0,1000,2020-12-04 14:36:34
Agüero,50000.0,51000,2020-12-04 17:05:18
Hummels,23500.0,24500,2020-12-04 17:05:18
Hummels,24000.0,25000,2020-12-04 17:05:18
CATALYST,400.0,600,2020-12-04 17:05:18
FINISHER,700.0,800,2020-12-04 18:04:34
FINISHER,800.0,900,2020-12-04 18:04:34
Robertson,32000.0,32500,2020-12-04 22:51:01
ENGINE,450.0,500,2020-12-04 22:51:01
ENGINE,400.0,550,2020-12-04 22:51:01
ENGINE,500.0,600,2020-12-04 22:51:01
ENGINE,500.0,600,2020-12-04 22:51:01
ENGINE,600.0,600,2020-12-04 22:51:01
CATALYST,350.0,550,2020-12-04 22:51:01
CATALYST,400.0,600,2020-12-04 22:51:01
CATALYST,400.0,600,2020-12-04 22:51:01
CATALYST,400.0,550,2020-12-04 22:51:01
CATALYST,400.0,600,2020-12-04 22:51:01
FINISHER,800.0,900,2020-12-04 22:51:01
ENGINE,550.0,750,2020-12-05 00:30:51
SNIPER,400.0,600,2020-12-05 00:30:51
FINISHER,600.0,900,2020-12-05 00:30:51
FINISHER,900.0,1200,2020-12-05 00:30:51
FINISHER,800.0,900,2020-12-05 00:30:51
ENGINE,400.0,500,2020-12-05 01:34:00
CATALYST,500.0,550,2020-12-05 01:34:00
CATALYST,400.0,600,2020-12-05 01:34:00
SHADOW,2900.0,3300,2020-12-05 01:34:00
FINISHER,700.0,800,2020-12-05 02:36:23
Immobile,28250.0,28500,2020-12-05 12:20:19
ENGINE,550.0,600,2020-12-05 12:20:19
CATALYST,400.0,550,2020-12-05 12:20:19
CATALYST,400.0,400,2020-12-05 12:20:19
FINISHER,650.0,650,2020-12-05 12:20:19
FINISHER,800.0,900,2020-12-05 12:20:19
FINISHER,850.0,850,2020-12-05 12:20:19
FINISHER,900.0,1000,2020-12-05 12:20:19
CATALYST,450.0,450,2020-12-05 13:27:11
FINISHER,850.0,1100,2020-12-05 13:27:11
Neuer,49250.0,49500,2020-12-05 13:55:56
Neuer,49750.0,50000,2020-12-05 13:55:56
ENGINE,600.0,750,2020-12-05 17:17:53
ENGINE,450.0,550,2020-12-05 17:17:53
ENGINE,600.0,700,2020-12-05 17:17:53
CATALYST,500.0,500,2020-12-05 17:17:53
CATALYST,400.0,400,2020-12-05 17:17:53
SHADOW,3000.0,3300,2020-12-05 17:17:53
SHADOW,3100.0,3500,2020-12-05 17:17:53
SHADOW,3200.0,3500,2020-12-05 17:17:53
FINISHER,850.0,1000,2020-12-05 17:17:53
FINISHER,800.0,950,2020-12-05 17:17:53
FINISHER,800.0,950,2020-12-05 17:17:53
ENGINE,550.0,550,2020-12-05 18:32:12
CATALYST,450.0,600,2020-12-05 18:32:12
FINISHER,800.0,900,2020-12-05 18:32:12
Florenzi,20750.0,21000,2020-12-05 20:51:34
ENGINE,550.0,750,2020-12-05 20:51:34
ENGINE,500.0,600,2020-12-05 20:51:34
CATALYST,350.0,550,2020-12-05 20:51:34
CATALYST,400.0,600,2020-12-05 20:51:34
SHADOW,3000.0,3000,2020-12-05 20:51:34
FINISHER,800.0,1000,2020-12-05 20:51:34
HAWK,500.0,600,2020-12-05 23:31:24
ENGINE,450.0,550,2020-12-05 23:31:24
ENGINE,450.0,450,2020-12-05 23:31:24
ENGINE,550.0,750,2020-12-05 23:31:24
ENGINE,550.0,650,2020-12-05 23:31:24
ENGINE,600.0,700,2020-12-05 23:31:24
CATALYST,450.0,650,2020-12-05 23:31:24
CATALYST,500.0,600,2020-12-05 23:31:24
